impl,B,H,N,D,BR,BC,warps,block_dim,grid_x,grid_z,smem_bytes,time_ms,gflops
sdpa-flash,8,8,512,64,,,,,,,,0.039,54471.48
sdpa-flash,8,8,1024,64,,,,,,,,0.111,77243.17
sdpa-flash,16,8,512,64,,,,,,,,0.065,65782.68
sdpa-flash,16,8,1024,64,,,,,,,,0.212,81159.14
sdpa-flash,32,8,512,64,,,,,,,,0.119,72290.66
sdpa-flash,32,8,1024,64,,,,,,,,0.395,87027.79
